"id","country_id","code","name","state_code","locode"
72322,158,JJT,Acajete,VER,MX JJT
72323,158,JLC,Jalisco,DUR,MX JLC
72324,158,JLM,Ixtlahuacan de los Membrillos,JAL,MX JLM
72325,158,JLP,Jaltepec,MEX,MX JLP
72326,158,JMN,Jimenez,CHH,MX JMN
72327,158,JOC,Jocotitlan,MEX,MX JOC
72328,158,JOJ,Jojutla,MOR,MX JOJ
72329,158,JOL,Jolalpan,PUE,MX JOL
72330,158,JPC,Jilotepec,PUE,MX JPC
72331,158,JPR,Jacona de Plancarte,MIC,MX JPR
72332,158,JRC,Juan Rodriguez Clara,VER,MX JRC
72333,158,JRZ,Juarez,,MX JRZ
72334,158,JSM,Jesus Maria,JAL,MX JSM
72335,158,JTC,Jilotepec de Abasolo,MEX,MX JTC
72336,158,JTP,Jilotepec,OAX,MX JTP
72337,158,JU2,Jaumave,TAM,MX JU2
72338,158,JUC,Juchitepec,MEX,MX JUC
72339,158,JUL,Juanacatlan,JAL,MX JUL
72340,158,JUP,Juchipila,ZAC,MX JUP
72341,158,JUZ,Juarez,CHH,MX JUZ
72342,158,JZA,Jerez,ZAC,MX JZA
72343,158,K6R,Puebla,BCN,MX K6R
72344,158,LAE,La Estancia,GUA,MX LAE
72345,158,LAH,La Huacana,MIC,MX LAH
72346,158,LAP,La Paz,BCS,MX LAP
72347,158,LBR,La Barca,JAL,MX LBR
72348,158,LC2,Lomas de Chapultepec,MEX,MX LC2
72349,158,LCB,Los Cabos,BCS,MX LCB
72350,158,LCO,Iztacalco,,MX LCO
72351,158,LCZ,La Cruz,SIN,MX LCZ
72352,158,LDC,Llera de Canales,TAM,MX LDC
72353,158,LDN,Lampazos de Naranjo,NLE,MX LDN
72354,158,LDR,Laguna del Rey,COA,MX LDR
72355,158,LDV,Lerma de Villada,MEX,MX LDV
72356,158,LED,Ciudad Lerdo,COA,MX LED
72357,158,LEN,Leon,GUA,MX LEN
72358,158,LER,Lerma,BCN,MX LER
72359,158,LFD,Zapotlanejo,JAL,MX LFD
72360,158,LIB,Libres,PUE,MX LIB
72361,158,LIN,Linares,NLE,MX LIN
72362,158,LMM,Los Mochis,,MX LMM
72363,158,LOB,Loma Bonita,OAX,MX LOB
72364,158,LOL,Lolotla,HID,MX LOL
72365,158,LOM,Lagos de Moreno,,MX LOM
72366,158,LOP,Lopez Mateos,MEX,MX LOP
72367,158,LOV,Monclova,COA,MX LOV
72368,158,LPC,La Piedad de Cabadas,MIC,MX LPC
72369,158,LPY,Playa Linda,VER,MX LPY
72370,158,LPZ,Lampazos,NLE,MX LPZ
72371,158,LRE,Los Reyes,VER,MX LRE
72372,158,LRO,Loreto,BCS,MX LRO
72373,158,LRS,El Rosario,BCN,MX LRS
72374,158,LRY,Los Reyes,MEX,MX LRY
72375,158,LSN,La Ascencion,NLE,MX LSN
72376,158,LSR,San Ignacio Cerro Gordo,TAM,MX LSR
72377,158,LTJ,La Troje,AGU,MX LTJ
72378,158,LTO,Loreto,,MX LTO
72379,158,LUM,Luis Moya,ZAC,MX LUM
72380,158,LZC,Lazaro Cardenas,MIC,MX LZC
72381,158,M5C,Periban De Ramos,MIC,MX M5C
72382,158,M6N,Matatlan,JAL,MX M6N
72383,158,MAD,Madera,CHH,MX MAD
72384,158,MAM,Matamoros,TAM,MX MAM
72385,158,MAR,Mahahual,ROO,MX MAR
72386,158,MAV,Maravatio,MIC,MX MAV
72387,158,MAZ,Mazamitla,JAL,MX MAZ
72388,158,MCA,Mascota,JAL,MX MCA
72389,158,MCN,Michacan,MIC,MX MCN
72390,158,MDA,Magdalena,JAL,MX MDA
72391,158,MDB,Manuel Doblado,GUA,MX MDB
72392,158,MDC,Mexquitic de Carmona,SLP,MX MDC
72393,158,MDF,Motul de Felipe Carrillo Puerto,YUC,MX MDF
72394,158,MDK,Magdalena de Kino,SON,MX MDK
72395,158,MDR,Mineral de la Reforma,HID,MX MDR
72396,158,MEM,Melchor Muzquiz,COA,MX MEM
72397,158,MEX,Ciudad de Mexico,CMX,MX MEX
72398,158,MEZ,Mezquital,NLE,MX MEZ
72399,158,MGL,Miguel Aleman,SON,MX MGL
72400,158,MHI,Miguel Hidalgo,MEX,MX MHI
72401,158,MHT,Magdalena/Hostotipaquillo,JAL,MX MHT
72402,158,MIC,Michoacan,TAB,MX MIC
72403,158,MID,Merida,YUC,MX MID
72404,158,MIR,Miramar,TAM,MX MIR
72405,158,MLM,Morelia,MIC,MX MLM
72406,158,MLT,Martinez de La Torre,VER,MX MLT
72407,158,MMA,Matamoros,COA,MX MMA
72408,158,MMC,Ciudad Mante,TAM,MX MMC
72409,158,MOL,Molango,HID,MX MOL
72410,158,MOR,Moroleon,GUA,MX MOR
72411,158,MOT,Tepoztlan,MOR,MX MOT
72412,158,MP6,San Juan Atzompan,PUE,MX MP6
72413,158,MPA,Milpa Alta,DIF,MX MPA
72414,158,MPC,Metepec,MEX,MX MPC
72415,158,MPP,Mapastepec,CHP,MX MPP
72416,158,MQI,Meoqui,CHH,MX MQI
72417,158,MRE,Morro Redondo,,MX MRE
72418,158,MRS,Moris,CHH,MX MRS
72419,158,MSC,Mariscala,OAX,MX MSC
72420,158,MSL,Misantla,VER,MX MSL
72421,158,MTE,Matehuala,SLP,MX MTE
72422,158,MTL,Miacatlan,MOR,MX MTL
72423,158,MTM,Montemorelos,NLE,MX MTM
72424,158,MTR,Matias Romero,OAX,MX MTR
72425,158,MTT,Minatitlan,VER,MX MTT
72426,158,MTY,Monterrey,NLE,MX MTY
72427,158,MUG,Mulege,BCS,MX MUG
72428,158,MXL,Mexicali,BCN,MX MXL
72429,158,MXQ,Mixquiahuala,HID,MX MXQ
72430,158,MZT,Mazatlan,SIN,MX MZT
72431,158,NAC,Nacajuca,TAB,MX NAC
72432,158,NAL,Naucalpan,MEX,MX NAL
72433,158,NAN,Nanchital,,MX NAN
72434,158,NAO,Naolinco,VER,MX NAO
72435,158,NAU,Nautla,VER,MX NAU
72436,158,NCG,Nueva Casas Grandes,,MX NCG
72437,158,NDG,Nacozari de Garcia,,MX NDG
72438,158,NDJ,Naucalpan de Juarez,MEX,MX NDJ
72439,158,NHY,Nezahualcoyotl,MEX,MX NHY
72440,158,NIR,Nueva Italia de Ruiz,MIC,MX NIR
72441,158,NLD,Nuevo Laredo,TAM,MX NLD
72442,158,NLE,Iturbide,NLE,MX NLE
72443,158,NLN,Nuevo Leon,CHP,MX NLN
72444,158,NNA,Nonoalco,HID,MX NNA
72445,158,NOG,Nogales,SON,MX NOG
72446,158,NOL,Napoles,HID,MX NOL
72447,158,NOP,Nopala,HID,MX NOP
72448,158,NPC,Nopalucan,PUE,MX NPC
72449,158,NRO,Nicolas Romero,MEX,MX NRO
72450,158,NUM,Numaran,GUA,MX NUM
72451,158,NUO,Nuevo Urecho,MIC,MX NUO
72452,158,NUR,Nueva Rosita,COA,MX NUR
72453,158,NVA,Nava,COA,MX NVA
72454,158,NVO,Navolato,SIN,MX NVO
72455,158,NVS,Navojoa,SON,MX NVS
72456,158,OAH,Coahuayana de Hidalgo,MIC,MX OAH
72457,158,OAX,Oaxaca,OAX,MX OAX
72458,158,OAY,Vizcaya,COA,MX OAY
72459,158,OBJ,Obrajuelo,GUA,MX OBJ
72460,158,OBR,Obregon,SLP,MX OBR
72461,158,OCO,Ocotlan,JAL,MX OCO
72462,158,OCS,Ocosingo,CHP,MX OCS
72463,158,OEO,Pedro Escobedo,QUE,MX OEO
72464,158,OJI,Ojinaga,CHH,MX OJI
72465,158,OJO,Ojo Caliente,ZAC,MX OJO
72466,158,OJU,Ojuelos,JAL,MX OJU
72467,158,OME,Ometepec,GRO,MX OME
72468,158,OPT,Polotitlan,MEX,MX OPT
72469,158,ORI,Orizaba,VER,MX ORI
